iter	RMSE
0	2.853732613
1	2.732383681
2	2.627574659
3	2.539003411
4	2.462917396
5	2.397610669
6	2.342232728
7	2.295087891
8	2.255294918
9	2.221516341
10	2.192775167
11	2.167695265
12	2.146618641
13	2.127861842
14	2.111941118
15	2.097530289
16	2.085599392
17	2.074745496
18	2.06520587
19	2.056852818
20	2.048300756
21	2.040597755
22	2.033890168
23	2.027777707
24	2.02215464
25	2.017012632
26	2.011595898
27	2.00688323
28	2.002727555
29	1.998623389
30	1.994568484
31	1.990053856
32	1.986379188
33	1.982781044
34	1.979314158
35	1.975853608
36	1.972331764
37	1.968515868
38	1.964704332
39	1.961502595
40	1.958788742
41	1.95541239
42	1.952866532
43	1.950269741
44	1.947803896
45	1.945167584
46	1.942266953
47	1.939687643
48	1.9373359
49	1.935152076
50	1.932594874
51	1.93015474
52	1.92826638
53	1.926404576
54	1.923712327
55	1.921878077
56	1.919319378
57	1.9167813
58	1.914603074
59	1.913028543
60	1.910726492
61	1.908974644
62	1.907308098
63	1.905376157
64	1.903879578
65	1.901975619
66	1.900200003
67	1.898632867
68	1.896518223
69	1.894173646
70	1.891959222
71	1.890043349
72	1.888997915
73	1.887356661
74	1.885765184
75	1.88383036
76	1.882690059
77	1.881559575
78	1.879301168
79	1.877594745
80	1.875706739
81	1.874251647
82	1.872694941
83	1.870466791
84	1.869459797
85	1.868127412
86	1.867026782
87	1.865498775
88	1.863774695
89	1.862107038
90	1.861012807
91	1.859317513
92	1.858067734
93	1.85649527
94	1.854668308
95	1.853502161
96	1.851019847
97	1.84915139
98	1.848042993
99	1.846756525
100	1.84524847
101	1.843834924
102	1.842665082
103	1.841455481
104	1.840309163
105	1.839253217
106	1.83723415
107	1.83501085
108	1.833681449
109	1.83227083
110	1.830703883
111	1.82930882
112	1.827475835
113	1.826062452
114	1.82491343
115	1.823907804
116	1.822936389
117	1.822053206
118	1.820821186
119	1.818977706
120	1.817724277
121	1.815885722
122	1.814482769
123	1.81260051
124	1.811443046
125	1.810517302
126	1.809368652
127	1.807502261
128	1.805525417
129	1.803693708
130	1.802692305
131	1.801162744
132	1.800288685
133	1.799410573
134	1.798248251
135	1.797011798
136	1.795931476
137	1.794593979
138	1.79348218
139	1.79242908
140	1.791748016
141	1.789691927
142	1.788414122
143	1.78684685
144	1.786199237
145	1.784681357
146	1.783467963
147	1.782521056
148	1.781330768
149	1.780149105
150	1.77882872
151	1.777790473
152	1.776747447
153	1.775834731
154	1.774835115
155	1.773887978
156	1.772810692
157	1.77180389
158	1.770767605
159	1.768956189
160	1.76737336
161	1.766228035
162	1.765172376
163	1.76445528
164	1.763683242
165	1.762275294
166	1.760513298
167	1.759329994
168	1.758256138
169	1.756947332
170	1.755698885
171	1.754114963
172	1.752871246
173	1.751875657
174	1.750614115
175	1.749647611
176	1.7480065
177	1.746625533
178	1.74545466
179	1.744099609
180	1.742994189
181	1.742183865
182	1.741036063
183	1.739571021
184	1.73810586
185	1.737107703
186	1.735412723
187	1.733977747
188	1.732860878
189	1.731719945
190	1.731056909
191	1.730414431
192	1.729600356
193	1.728415601
194	1.726792341
195	1.726084663
196	1.72557599
197	1.72433626
198	1.723549837
199	1.722809165
200	1.721754362
201	1.721241949
202	1.720078839
203	1.719465265
204	1.718714565
205	1.71791555
206	1.716693938
207	1.715977158
208	1.714719626
209	1.713413007
210	1.712356333
211	1.710726451
212	1.70989908
213	1.708233992
214	1.707426815
215	1.706644495
216	1.705762004
217	1.705233604
218	1.704350951
219	1.703022176
220	1.702261372
221	1.701266517
222	1.7001943
223	1.699222493
224	1.697942312
225	1.696869191
226	1.695547514
227	1.694092473
228	1.693366074
229	1.692102953
230	1.691046796
231	1.689590857
232	1.688881283
233	1.687649691
234	1.68670781
235	1.685986396
236	1.684746138
237	1.68344268
238	1.681812015
239	1.680726966
240	1.679670803
241	1.678721922
242	1.678145772
243	1.676995509
244	1.676322886
245	1.675139546
246	1.674256001
247	1.673306528
248	1.672675376
249	1.671730444
250	1.670592988
251	1.669667284
252	1.668579363
253	1.667979707
254	1.666792086
255	1.666250799
256	1.664917009
257	1.663754365
258	1.662810415
259	1.661789074
260	1.661116935
261	1.660271169
262	1.659590065
263	1.65827684
264	1.657690922
265	1.656944569
266	1.656117671
267	1.655087987
268	1.654117587
269	1.653368553
270	1.652400135
271	1.651352152
272	1.650696082
273	1.649270992
274	1.648648465
275	1.647460517
276	1.646326023
277	1.645335489
278	1.644697091
279	1.643967603
280	1.642903604
281	1.641942936
282	1.641129401
283	1.640384714
284	1.639470917
285	1.638791025
286	1.637880165
287	1.63674027
288	1.635809222
289	1.634739048
290	1.633717825
291	1.632373512
292	1.631034098
293	1.630199472
294	1.629542686
295	1.628475711
296	1.627060886
297	1.626506377
298	1.625649717
299	1.624303074
300	1.623230915
301	1.622674553
302	1.622191293
303	1.620971541
304	1.619767327
305	1.618855032
306	1.617394192
307	1.616678537
308	1.615417796
309	1.614591114
310	1.613934157
311	1.612945181
312	1.612004441
313	1.611044797
