iter	Passed	Remaining
0	347	347612
1	381	190183
2	415	138172
3	453	112953
4	488	97154
5	522	86496
6	555	78824
7	590	73240
8	622	68511
9	652	64591
10	685	61641
11	718	59159
12	752	57108
13	789	55568
14	821	53937
15	854	52577
16	887	51338
17	922	50349
18	953	49217
19	983	48208
20	1023	47722
21	1064	47318
22	1099	46689
23	1131	46034
24	1167	45542
25	1200	44977
26	1238	44615
27	1272	44163
28	1306	43754
29	1342	43409
30	1380	43148
31	1417	42877
32	1453	42598
33	1489	42309
34	1523	41998
35	1565	41913
36	1604	41763
37	1643	41617
38	1685	41542
39	1727	41461
40	1763	41257
41	1804	41162
42	1843	41030
43	1879	40830
44	1914	40628
45	1948	40407
46	1988	40315
47	2030	40274
48	2066	40113
49	2101	39919
50	2140	39839
51	2180	39746
52	2216	39599
53	2254	39488
54	2297	39469
55	2334	39348
56	2375	39306
57	2416	39253
58	2453	39132
59	2488	38987
60	2529	38937
61	2566	38829
62	2603	38726
63	2638	38585
64	2673	38459
65	2709	38340
66	2747	38254
67	2781	38129
68	2820	38061
69	2861	38021
70	2901	37964
71	2943	37936
72	2977	37804
73	3010	37675
74	3048	37603
75	3087	37534
76	3120	37401
77	3151	37254
78	3193	37228
79	3230	37151
80	3270	37103
81	3305	37001
82	3343	36936
83	3385	36921
84	3418	36802
85	3452	36696
86	3485	36574
87	3521	36494
88	3562	36463
89	3601	36411
90	3636	36327
91	3672	36244
92	3708	36167
93	3746	36108
94	3781	36027
95	3817	35946
96	3858	35923
97	3899	35886
98	3934	35808
99	3972	35749
100	4009	35689
101	4046	35620
102	4083	35559
103	4116	35465
104	4152	35396
105	4188	35328
106	4232	35325
107	4276	35316
108	4311	35241
109	4349	35188
110	4390	35162
111	4430	35125
112	4472	35103
113	4510	35057
114	4547	34994
115	4584	34936
116	4618	34855
117	4652	34775
118	4686	34693
119	4728	34679
120	4764	34611
121	4805	34586
122	4842	34527
123	4882	34495
124	4919	34437
125	4953	34360
126	4988	34288
127	5030	34270
128	5073	34257
129	5115	34235
130	5151	34169
131	5190	34130
132	5225	34061
133	5261	34002
134	5298	33946
135	5337	33906
136	5374	33854
137	5414	33822
138	5452	33771
139	5487	33706
140	5518	33621
141	5561	33601
142	5596	33542
143	5636	33506
144	5668	33424
145	5707	33386
146	5745	33339
147	5779	33268
148	5814	33208
149	5850	33151
150	5889	33111
151	5925	33055
152	5959	32991
153	5991	32916
154	6026	32854
155	6062	32799
156	6098	32747
157	6132	32683
158	6169	32632
159	6214	32624
160	6257	32606
161	6294	32559
162	6328	32499
163	6362	32431
164	6395	32366
165	6434	32329
166	6476	32302
167	6516	32271
168	6552	32221
169	6590	32179
170	6628	32136
171	6669	32106
172	6711	32085
173	6750	32045
174	6786	31991
175	6821	31938
176	6862	31909
177	6903	31882
178	6941	31838
179	6984	31818
180	7021	31770
181	7056	31716
182	7095	31676
183	7138	31659
184	7180	31632
185	7218	31588
186	7258	31558
187	7300	31532
188	7340	31500
189	7377	31450
190	7410	31386
191	7442	31322
192	7478	31271
193	7518	31236
194	7558	31203
195	7593	31147
196	7626	31084
197	7665	31048
198	7700	30996
199	7739	30956
200	7774	30904
201	7807	30842
202	7846	30807
203	7880	30749
204	7914	30693
205	7948	30637
206	7988	30602
207	8023	30549
208	8063	30518
209	8106	30494
210	8143	30449
211	8187	30432
212	8222	30381
213	8263	30351
214	8300	30306
215	8335	30255
216	8371	30206
217	8404	30147
218	8440	30101
219	8479	30065
220	8516	30019
221	8552	29973
222	8593	29942
223	8632	29905
224	8673	29875
225	8711	29834
226	8751	29800
227	8792	29770
228	8827	29722
229	8866	29683
230	8904	29643
231	8945	29613
232	8980	29563
233	9022	29533
234	9062	29499
235	9095	29444
